,username,tweet,hashtags,label,labeled_tweet
10,ital_john,"We have to agree that in Kenya we don't have enough energy to industrialize. WE NEED A NUCLEAR ENERGY POWER PLANT .
#kenyatta #BudgetKe2020 #Fridaythoughts","['#kenyatta', '#budgetke2020', '#fridaythoughts']","{'neg': 0.062, 'neu': 0.755, 'pos': 0.183, 'compound': 0}",neu
11,naiic_simple,"What are the issues with nuclear energy? (English)　ILLUSTRATED VIDEO⑥
 http://www.youtube.com/watch?v=0IHL_GIgv1o …",[],"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0}",neu
12,win_france,"""We encourage all women to follow their dreams without hesitation, even when people say the job is not suitable for women.""
Turkish women set to be nuclear energy pioneers  https://buff.ly/3dV9QxY ",[],"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0}",neu
13,yoda55x,"Can you DM if you are interested, because I'll be honest I don't really know much about nuclear energy and what I do know is from the simpsons bl xD",[],"{'neg': 0.0, 'neu': 0, 'pos': 0.378, 'compound': 0}",pos
14,phyllia12,"It's dangerous to lift the prohibition on nuclear.  Radioactive waste containment isn't clean energy, it's an accident waiting to happen. Nuclear energy lobbyist should never be trusted, they'll lie to make a profit, even if it means cancer and birth defects for the people.",[],"{'neg': 0.368, 'neu': 0, 'pos': 0.081, 'compound': 0}",neg
15,uknuclearenergy,GB Grid: #Nuclear is generating 4.22GW (14.65%) out of 28.82GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
16,agreenewyork,"Taking into consideration the entire fuel chain, nuclear energy is a net producer of greenhouse gases.",[],"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0}",neu
17,smartenergy1,Friday Fun Fact: Nuclear is one of the best options to decarbonize the world. It also makes up more than half of our nation’s clean energy in the United States. #SMR #nuclearenergy #cleanenergy pic.twitter.com/4HGWk0YkrJ,"['#smr', '#nuclearenergy', '#cleanenergy']","{'neg': 0.0, 'neu': 0, 'pos': 0.342, 'compound': 0}",pos
18,tomhickey_,"Enjoyed attending my first @UKPONI conference! Three days of research on everything from hypersonics and lasers to space security and nuclear energy sector, with great panellist diversity. Also engaging simulation exercise to get the mighty nation of ""Lowlandia"" to join the TPNW  https://twitter.com/UKPONI/status/1271464960305115136 …",[],"{'neg': 0.0, 'neu': 0, 'pos': 0.306, 'compound': 0}",pos
19,ital_john,"Uhuru #kenyatta government went for SGR instead it could have gone for nuclear energy plant now the country couldn't be solely relying on incapable KPLC . poor planning
#MutuaAdviceToKenyans","['#kenyatta', '#mutuaadvicetokenyans']","{'neg': 0.169, 'neu': 0.769, 'pos': 0.062, 'compound': 0}",neu
20,iam__network,"Is Water Vapor the Next Great Renewable? 

READ MORE:  https://blog.iammarketingmedia.com/is-water-vapor-the-next-great-renewable/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills~ pic.twitter.com/gQ9QCzy0Zp","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0}",neu
21,kla_mar,"It is going to happen, ultra safe, affordable, sustainable zero CO2 nuclear energy! ""It giet oan""",[],"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0}",neu
22,uknuclearenergy,GB Grid: #Nuclear is generating 4.22GW (14.13%) out of 29.82GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
23,brendaw101949,I have heard that Nuclear Energy is clean UNTIL IT ISN’T kept Cool! Remember Chernobyl & 3 mile island?  https://twitter.com/lisamurkowski/status/1271500322444324864 …,[],"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0}",neu
24,fanniegate2231,"#FANNIEGATE #KCA  https://ift.tt/1Eg6gKn  lisamurkowski: Nuclear energy technology can help meet the world’s clean energy needs, which is why Sen_JoeManchin and I led a letter to DFCgov urging nuclear energy projects be able to apply for financing. I am pleased they voted to rev…","['#fanniegate', '#kca']","{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0}",neu
25,lisamurkowski,"Nuclear energy technology can help meet the world’s clean energy needs, which is why @Sen_JoeManchin and I led a letter to @DFCgov urging nuclear energy projects be able to apply for financing. I am pleased they voted to reverse the categorical prohibition on civil nuclear.",[],"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0}",neu
26,rileyjohngibbs,"I’m imagining some product manager making a push to supply it with the good batteries instead of the cheap ones, not realizing just how good the good batteries really were.

Or maybe, like Godzilla, it’s powered by undying nuclear energy.",[],"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0}",neu
27,globalportolan,Clean nuclear energy produces 60% of Ontario's power day-after-day. See  http://www.ieso.ca  for hourly electricity production in Ontario. Compelling data for evidence-based energy policies!  #cleanenergyCanada #recoveryproj #renewableenergy #EnvironmentalJustice https://twitter.com/GrantChalmers/status/1271245363811213312 …,"['#cleanenergycanada', '#recoveryproj', '#renewableenergy', '#environmentaljustice']","{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0}",neu
28,kbms1i9bccla02h,"#Love
#Earth
#corona 

""Love this dying planet!""has been added to my page of note.
With this earth screaming due to global warming and nuclear energy、A homage for a world exposed to the corona vortex.
Since it is released for free, please have a look.
 https://note.com/masanobu1962/n/nffe3a3f526d4 …","['#love', '#earth', '#corona']","{'neg': 0.066, 'neu': 0, 'pos': 0.27, 'compound': 0}",pos
29,terrapower,"We are excited to host our summer #interns virtually this year!  

We're incredibly proud to be able to offer this opportunity to students, who represent the future of nuclear energy, and invest in #STEM talent. 💡📚🔬 pic.twitter.com/Tvrtn2f199","['#interns', '#stem']","{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0}",neu
30,ramblingwilliam,US Government Proposes to Lift Ban on Financing Nuclear Energy Projects Overseas -  http://eepurl.com/g63Ayn ,[],"{'neg': 0.203, 'neu': 0, 'pos': 0.119, 'compound': 0}",neg
31,clearpathaction,"To translate in plain English, we need to get serious about having complete #NuclearEnergy testing capabilities — ASAP. Check out our blog on why the U.S. needs the Versatile Test Reactor:  https://clearpath.org/our-take/lets-show-the-world-were-serious-about-nuclear-energy/ …",['#nuclearenergy'],"{'neg': 0.039, 'neu': 0.961, 'pos': 0.0, 'compound': 0}",neu
32,ictperspectives,"Nuclear Power in Bulgaria | Bulgarian nuclear energy - World Nuclear Association  https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/bulgaria.aspx?fbclid=IwAR3wl8oK9I2gkOlaQougUQKnfLFoQDiyg_nYrSVyvdx0oyZCLrsZwyScqxQ#.XuO7llrv6sA.twitter …
Ядрена техника в България",[],"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0}",neu
33,brianhusted5,"I will agree to disagree,The main problem is we gave up on it, our methods of producing energy today cause more pollution,And death in one year then nuclear energy has in the last 60 years,And that’s including Hiroshima,and Nagasaki",[],"{'neg': 0.145, 'neu': 0.715, 'pos': 0.141, 'compound': 0}",neu
34,iam__network,"Four new renewable energy projects in South Africa receive support from MIGA 

READ MORE:  https://blog.iammarketingmedia.com/four-new-renewable-energy-projects-in-south-africa-receive-support-from-miga/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills+ pic.twitter.com/ZXpMewMs2w","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0}",neu
35,uae_forsan,"Ali Salem Al Nuaimi, Project Manager at the Emirates Nuclear Energy Corporation, expressed pride of being part of the mega-project

#أنت_مسؤول
#YouAreResponsible pic.twitter.com/O9628r1eiA","['#أنت_مسؤول', '#youareresponsible']","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0}",neu
36,iam__network,"The sun’s rays can electrify plants into producing renewable energy, study finds 

READ MORE:  https://blog.iammarketingmedia.com/the-suns-rays-can-electrify-plants-into-producing-renewable-energy-study-finds/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills* pic.twitter.com/lPOU5cm4nZ","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0}",neu
37,mrspoon1313,"If we move from oil to green and nuclear energy we could probably end a lot of wars. Nobody will give a fuck about securing oil reserves when all you need is the wind, sun or some uranium.",[],"{'neg': 0.156, 'neu': 0.747, 'pos': 0.097, 'compound': 0}",neu
38,iam__network,"India targets lofty renewable energy goals with $6 billion deal to ramp up solar 

READ MORE:  https://blog.iammarketingmedia.com/india-targets-lofty-renewable-energy-goals-with-6-billion-deal-to-ramp-up-solar/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills~ pic.twitter.com/ChPVotwFX7","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0}",neu
39,0sundance,"Try There Is No Climate Crisis by the Failing Climate Models & be sure to watch Michael Moore's movie on the renewable energy scam that was just put back up on YouTube after the RE scam artists, had it removed temporarily. Support nuclear energy too👍💯
 https://www.youtube.com/watch?v=Zk11vI-7czE …",[],"{'neg': 0.191, 'neu': 0, 'pos': 0.185, 'compound': 0}",neg
40,uknuclearenergy,GB Grid: #Nuclear is generating 4.20GW (14.03%) out of 29.96GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
41,leadersandbest,"A three-year, $5.2M grant will fund a new project led by U-M, which will bring together nuclear engineers and computer scientists to create safer, more affordable nuclear energy solutions.

Check out the project:  http://myumi.ch/2DygX ",[],"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0}",neu
42,honestcitizen8,"The Maintenance Costs of CNG Vehicles is also High compared to Fossil fuel Vehicles & Fully Electric Vehicles..

Certain Corrupt Politicians are day dreaming of trying to Promote Gas Based Economy in an Era driven by Fully Electric Vehicles & Nuclear Energy but may fail miserably",[],"{'neg': 0.162, 'neu': 0.746, 'pos': 0.092, 'compound': 0}",neu
43,axel_hag,"Germany has pursued a bold 550 million euro transition plan away from Nuclear Energy towards a 100% renewables energy system.  The Energiewende as it is known also aims to phase out fossil fuels but remains heavily reliant on coal, natural gas and biomass to firm.....",[],"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0}",neu
44,axel_hag,"Germany has pursued a bold 550 million euro transition plan away from Nuclear Energy towards a 100% renewables energy system.  The Energiewende as it is known also aims to phase out fossil fuels but remains heavily reliant on coal, natural gas and biomass........",[],"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0}",neu
45,adamusdfc,"Thank you! Modernizing @DFCgov's nuclear energy policy could help ensure that developing countries have access to clean, and affordable energy sources. We look forward to the feedback from the comment period!  https://twitter.com/gepublicaffairs/status/1271147984466726912 …",[],"{'neg': 0.0, 'neu': 0, 'pos': 0.361, 'compound': 0}",pos
46,philsystems,Learn more about #nuclearenergy in the US from the #WorldNuclearAssociation >>>  https://bit.ly/3dYtgSr  #IndustryFact #NMA #Uranium pic.twitter.com/uOsI59lDzO,"['#nuclearenergy', '#worldnuclearassociation', '#industryfact', '#nma', '#uranium']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
47,iam__network,"Offshore wind offers ‘1.4TW potential by 2050’ 

READ MORE:  https://blog.iammarketingmedia.com/offshore-wind-offers-1-4tw-potential-by-2050/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills* pic.twitter.com/uiTwfY2vhr","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
48,arabweekly,"During a tour of the Barakah Nuclear Energy Plant, UAE Crown Prince Sheikh Mohamed bin Zayed Al Nahyan hailed the “remarkable progress” being made at the Emirati facility.  https://thearabweekly.com/uae-crown-prince-hails-remarkable-progress-barakah-nuclear-plant?utm_medium=Social&utm_source=Twitter#Echobox=1591978174 …",[],"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0}",neu
49,ionactive,"Lol... CT about 20mSv, chest x-ray about 100 micro Sv. Good old linear accelerator will do the job just fine (as pictured in the article). Powered by nuclear energy of course :)",[],"{'neg': 0.0, 'neu': 0, 'pos': 0.318, 'compound': 0}",pos
50,uknuclearenergy,GB Grid: #Nuclear is generating 4.20GW (14.49%) out of 28.98GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
51,nucnetnews,"💻⚛️📰Discover #NucNet's Top3 most-read articles of the week.
#nuclear #energy #research #innovation #news
▶️Read more on  https://www.nucnet.org/ 
📧Sign up for NucNet's nuclear newsletter:  https://www.nucnet.org/registration  pic.twitter.com/2WOS6CYVHI","['#nucnet', '#nuclear', '#energy', '#research', '#innovation', '#news']","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0}",neu
52,fortgoose,Don’t scrap the carbon tax. The innovation that follows it means exportable tech for Canadian business. It also helps support Ontario’s nuclear energy production.,[],"{'neg': 0.0, 'neu': 0, 'pos': 0.333, 'compound': 0}",pos
53,repnewhouse,"✅ Helping our communities prevent the risk of wildfires
✅ Working to address the maintenance backlog at National Parks
✅ Improving air quality and effectiveness of taxpayer dollars
✅ Supporting nuclear energy innovation & development",[],"{'neg': 0.038, 'neu': 0.717, 'pos': 0.246, 'compound': 0}",neu
54,characterlacks,"It absolutely should be built.  It's not ideal, but it's a project that is already well under way and should be built.

Without nuclear energy, there will be no ""decarbonization"".  Renewable energy is a con designed to keep gas & coal in the energy mix.  
End of story.",[],"{'neg': 0.122, 'neu': 0.739, 'pos': 0.14, 'compound': 0}",neu
55,mpc_dc,The @IEA just published an important and timely look at the impact of the Covid-19 crisis is having on nuclear energy.  https://www.iea.org/commentaries/the-covid-19-crisis-is-undermining-nuclear-power-s-important-role-in-clean-energy-transitions …,[],"{'neg': 0.146, 'neu': 0.714, 'pos': 0.139, 'compound': 0}",neu
56,iam__network,"GE to provide Spanish wind service 

READ MORE:  https://blog.iammarketingmedia.com/ge-to-provide-spanish-wind-service/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills pic.twitter.com/aUN9vA1erU","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
57,corrupt_obama,"Not at all. I work in energy, wind power needs fossil fuels to be produced. Nuclear energy is the cleanest for our environment.",[],"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0}",neu
58,iam__network,"UK ponders Saudi clean power opportunities 

READ MORE:  https://blog.iammarketingmedia.com/uk-ponders-saudi-clean-power-opportunities/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills* pic.twitter.com/pkuKivVy0K","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0}",neu
59,shiftclickzine,"🪂 Learn WW II ciphers, make marshmallow atom models and learn about nuclear energy on World War II at Home
#history #homeschooling pic.twitter.com/RTL5z20i33","['#history', '#homeschooling']","{'neg': 0.144, 'neu': 0.778, 'pos': 0.078, 'compound': 0}",neu
60,chernobylwelcom,"What was behind the biggest nuclear energy disaster in the world?

❓KGB vs. CIA war❓UFO👽❓
⬇️Learn the (un)believable theories that support alternative versions of what caused the Chernobyl accident⬇️
⏰ 13.06. 17:00 (GMT)

👉🏻 https://www.facebook.com/events/262346551542660/ … pic.twitter.com/X3zxtXzDWU",[],"{'neg': 0.207, 'neu': 0.72, 'pos': 0.074, 'compound': 0}",neu
61,govnuclear,FACT: The U.S. generates more nuclear energy than the next ✌️ leading countries combined.  pic.twitter.com/BjAm889uJe,[],"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0}",neu
62,pgsnuclear,"The latest #PGSnewsletter is out now! 
In this issue, we highlight a possible change in #US policy regarding the financing of civil #nuclear projects overseas, as the #IDFC proposes that nuclear energy is a tool for sustainable development and ensuring #nonproliferation.","['#pgsnewsletter', '#us', '#nuclear', '#idfc', '#nonproliferation']","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0}",neu
63,duo_koji,"核エネルギーの潜在的な危険性は、いくら強調してもし過ぎるということはない。
One cannot emphasize too much the potential danger of nuclear energy. (39)",[],"{'neg': 0.206, 'neu': 0, 'pos': 0.127, 'compound': 0}",neg
64,uknuclearenergy,GB Grid: #Nuclear is generating 4.35GW (15.32%) out of 28.40GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
65,nei,Carbon-free sources like #nuclear will be essential if we want to keep emissions low for future generations. https://bit.ly/34VZMB9 ,['#nuclear'],"{'neg': 0.1, 'neu': 0.718, 'pos': 0.182, 'compound': 0}",neu
66,talknuclear,".@global1stpower, @UltraSafeNuke and @opg Form Joint Venture to Own, Operate Micro Modular Reactor Project at Chalk River #SMR #NuclearEnergy  https://prn.to/2UtZKfE ","['#smr', '#nuclearenergy']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
67,nicumbria,"✨Meet our speakers: Sophie Kelly of @SellafieldLtd 🌟✨. 

Sophie works as a Health Physics Monitor at Sellafield Ltd. She will present on the topic of, ‘Nuclear Energy - Small Modular Reactors (SMRs)’.  pic.twitter.com/MTe0g4yOIb",[],"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0}",neu
68,nei,"#ICYMI – earlier this week, @DFCgov announced a proposal to lift its legacy prohibition on funding nuclear energy projects. 

 https://bit.ly/2AZ7n7b ",['#icymi'],"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0}",neu
69,ucellfc,"UCell paid a virtual visit to Haggerston school today talking to A-level students about fuel cells, batteries and nuclear energy. They even managed to get a virtual tour of @UCLEIL labs from Theo, a post doc in our group who is back to (socially distanced) lab life 👨‍🔬 🥼 🔬 pic.twitter.com/2G3o62YRmN",[],"{'neg': 0.0, 'neu': 0.961, 'pos': 0.039, 'compound': 0}",neu
70,rethomari,"Lol... people will use every opportunity they get to slander religion.
Jesus was a man that preached love, living at peace with all men. That sounds like White supremacy to you?

E=mc² is gave us nuclear energy, but because it was used to create weapons now, Einstein is evil?  https://twitter.com/funshographix/status/1271392389819699202 …",[],"{'neg': 0.148, 'neu': 0, 'pos': 0.24, 'compound': 0}",pos
71,iam__network,"Germany adopts national hydrogen plan 

READ MORE:  https://blog.iammarketingmedia.com/germany-adopts-national-hydrogen-plan/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills~ pic.twitter.com/TNChocBWp7","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0}",neu
72,nuclearkatie,"Zero reactor types will fix the entire world. Nuclear energy can do a lot of good, but believing that your preferred reactor type has no drawbacks and will solve racism, poverty, health disparities, etc is not a good look! The world is more complicated than that",[],"{'neg': 0.267, 'neu': 0, 'pos': 0.093, 'compound': 0}",neg
73,wamnews_german,Die Bürger der Emirate machen 60 Prozent der Beschäftigten der Nuclear Energy Corporation aus  https://ift.tt/2B3CuhE  #wamnews,['#wamnews'],"{'neg': 0.195, 'neu': 0, 'pos': 0.105, 'compound': 0}",neg
74,eboysbabie,mines on nuclear energy everyone drop ur topics,[],"{'neg': 0.206, 'neu': 0, 'pos': 0.206, 'compound': 0}",neg
75,jaczko,"3). There really was nothing new in the reports.  Platitudes of restoring US leadership in nuclear energy.   The need for the domestic industry to support the weapons complex. 

Bottom line nuclear power is a contracting industry in the US and globally will likely be too /4",[],"{'neg': 0.056, 'neu': 0.809, 'pos': 0.135, 'compound': 0}",neu
76,thecartoonloon,"yeah in the fallout universe everything was the same up until ww2.

America after than focused on Nuclear energy and had huge leaps in tec.

And that cold war mentality held up.

but The USSR didnt collapse. and the red scare just grew.

America quickly ran out of resources",[],"{'neg': 0.115, 'neu': 0.714, 'pos': 0.171, 'compound': 0}",neu
77,iam__network,"Naval Energies joins Offshore Wind California group 

READ MORE:  https://blog.iammarketingmedia.com/naval-energies-joins-offshore-wind-california-group/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills* pic.twitter.com/CIbcCbGckk","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0}",neu
78,uknuclearenergy,GB Grid: #Nuclear is generating 4.40GW (15.13%) out of 29.09GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
79,sabrina95466198,"What about nuclear energy, or solar energy?
Or what if our priority was finding more efficient energy sources instead of imperialist wars in the Middle East to make oil companies rich?
Scientific research would be much easier without the budget limit. Just sayin'",[],"{'neg': 0.064, 'neu': 0, 'pos': 0.293, 'compound': 0}",pos
80,supreme_owl_ftw,"Much like nuclear energy, genetic modification, capitalism, vaccines and the scientific method, western civilization is only opposed by people who are very confused about what it is, and what the alternatives are.",[],"{'neg': 0.072, 'neu': 0.801, 'pos': 0.127, 'compound': 0}",neu
81,ncstatenuclear,"Upcoming Webinar ""Clean Nuclear Energy for Industry: The Case for SMRs and Microreactors in Puerto Rico"". Moderated by Harsh Desai, NC State alum on June 18 @ 12 noon CDT.

Register @ 
 https://us02web.zoom.us/webinar/register/WN_WZiz7_b7ThimdhpOeFQomg … pic.twitter.com/y5z1i3vaox",[],"{'neg': 0.073, 'neu': 0.806, 'pos': 0.121, 'compound': 0}",neu
